PPN_TP_Record,GND_ID
417408315,http://d-nb.info/gnd/1140800671
416218601,http://d-nb.info/gnd/1139201956
339176261,http://d-nb.info/gnd/1050004701
339175885,http://d-nb.info/gnd/1049999401
332127990,http://d-nb.info/gnd/1042550476
321111907,http://d-nb.info/gnd/1034210009
311931340,http://d-nb.info/gnd/1027601316
303325100,http://d-nb.info/gnd/1023489007
296167886,http://d-nb.info/gnd/171961560
277804256,http://d-nb.info/gnd/1016228503
276674162,http://d-nb.info/gnd/172654130
214864871,http://d-nb.info/gnd/138977534
199003785,http://d-nb.info/gnd/135614171
193980835,http://d-nb.info/gnd/133742717
192642413,http://d-nb.info/gnd/13370940X
159319889,http://d-nb.info/gnd/128898119
159249996,http://d-nb.info/gnd/128808918
159068665,http://d-nb.info/gnd/128588853
155558269,http://d-nb.info/gnd/124975062
15488877X,http://d-nb.info/gnd/124139248
154382922,http://d-nb.info/gnd/123476259
154237728,http://d-nb.info/gnd/12328113X
153764244,http://d-nb.info/gnd/12264557X
153648597,http://d-nb.info/gnd/122495594
153177888,http://d-nb.info/gnd/121890805
153108428,http://d-nb.info/gnd/121805670
152570411,http://d-nb.info/gnd/121123626
152391231,http://d-nb.info/gnd/120885964
152374698,http://d-nb.info/gnd/120863650
152372326,http://d-nb.info/gnd/120860848
152355227,http://d-nb.info/gnd/120838885
152337652,http://d-nb.info/gnd/120816709
152183868,http://d-nb.info/gnd/120621517
152117016,http://d-nb.info/gnd/120535319
15201716X,http://d-nb.info/gnd/12041371X
151718237,http://d-nb.info/gnd/120046210
151678766,http://d-nb.info/gnd/11820145X
151264805,http://d-nb.info/gnd/117484814
150165900,http://d-nb.info/gnd/116172576
14999009X,http://d-nb.info/gnd/115850414
14998202X,http://d-nb.info/gnd/11584063X
149815514,http://d-nb.info/gnd/115645039
149635257,http://d-nb.info/gnd/115426752
14958315X,http://d-nb.info/gnd/11536501X
149435398,http://d-nb.info/gnd/115186794
146429761,http://d-nb.info/gnd/111926866
146375971,http://d-nb.info/gnd/11186951X
145676269,http://d-nb.info/gnd/111116880
14501861X,http://d-nb.info/gnd/110405846
144685035,http://d-nb.info/gnd/110043057
144521784,http://d-nb.info/gnd/109864832
144399563,http://d-nb.info/gnd/109730798
